,HVPI,IP_Verarbeitendes_Gew,IP_Nahrungs_Genuss,IP_Textil_Leder,IP_Holz_Papier_Druck,IP_Mineraloel,IP_Chemie,IP_Pharma,IP_Metall_Grundstoffe,IP_Metallerzeugnisse,IP_DV_Elektronik,IP_Elektrisch,IP_Maschinenbau,IP_Kfz,IP_Sonstiger_Fahrzeug,IP_Energie,BS_Konjunkturklima,BS_Produktionserwart,BS_Produktionstendenz,BS_Absatzpreise,BS_Auftragsbestand,PPI_Gesamt,PPI_Konsumgueter,PPI_Vorleistungen,ALQ_Gesamt,ALQ_Maenner,ALQ_Frauen,ALQ_Kern_Ges,ALQ_Kern_M,ALQ_Kern_F,LCI_Lohnkosten_BN,LCI_Loehne_BN,LCI_Lohnkosten_Ind,LCI_Loehne_Ind
2022-01-01,5.149812734082393,2.9445073612684114,3.897550111358572,9.344790547798066,3.737259343148347,11.685625646328845,0.9737098344693385,10.942956926658898,2.4691358024691246,4.988399071925742,6.982248520710055,5.136986301369872,3.539823008849563,-4.025423728813571,6.659505907626206,2.6008968609865457,1954.5454545454547,-315.55555555555554,-1.8348623853211121,-805.263157894737,-550.7936507936508,22.4119530416222,6.523955147808369,17.23768736616702,-15.384615384615385,-11.904761904761907,-14.70588235294118,-11.764705882352944,-13.157894736842103,-9.999999999999998,4.756756756756753,3.1419284940411796,4.939626783754125,2.753303964757703
2022-02-01,5.493482309124764,0.9249743062692772,3.0201342281878985,8.860759493670889,0.21276595744681437,11.888111888111897,1.747173689619741,17.03296703296704,0.4024144869215096,2.3983315954118734,4.4967880085653,2.5588536335721557,1.196953210010876,-7.105719237435015,1.5444015444015635,9.117938553022785,241.53846153846152,-550.0000000000001,-28.409090909090917,590.0,-1216.0,23.19915254237288,7.128309572301417,18.17215727948991,-17.948717948717942,-16.279069767441857,-17.14285714285715,-11.764705882352944,-15.78947368421052,-13.33333333333333,4.756756756756753,3.1419284940411796,4.939626783754125,2.753303964757703
2022-03-01,7.599629286376253,-5.593803786574869,0.6404391582799596,0.17346053772766545,-3.7366548042704673,11.363636363636353,-2.6244343891402733,12.64470169189671,-6.282271944922546,-1.9247594050743722,4.761904761904767,-0.4416961130742081,-3.0674846625766916,-25.9040590405904,1.4604810996563522,-0.7359705611775458,21.95121951219512,-693.75,-86.17021276595744,109.375,408.77192982456137,27.836134453781504,8.888888888888879,19.999999999999996,-17.948717948717942,-16.666666666666675,-17.647058823529417,-14.70588235294118,-18.421052631578938,-13.33333333333333,4.756756756756753,3.1419284940411796,4.939626783754125,2.753303964757703
2022-04-01,7.841328413284132,-7.164179104477619,1.7467248908296984,0.31250000000000444,-7.499999999999996,17.008196721311485,-5.478087649402386,3.875968992248069,-5.517909002904164,-6.120434353405724,-2.1582733812949617,-5.326633165829142,-9.45121951219513,-17.779783393501813,-3.2901296111664924,-0.09930486593844323,2.6490066225165476,190.47619047619045,-124.44444444444444,40.697674418604656,151.28205128205127,30.239833159541195,12.374245472837009,22.27979274611398,-18.421052631578938,-17.07317073170731,-17.647058823529417,-17.647058823529417,-16.216216216216218,-13.33333333333333,8.880666049953746,7.8125,8.240740740740748,7.090239410681409
2022-05-01,8.739650413983435,6.5899581589958345,6.533192834562684,13.203463203463194,-1.0204081632653073,9.825997952917076,-5.45094152626363,1.9407558733401276,-2.5886864813039367,7.796257796257788,11.052072263549428,8.786610878661104,6.745182012847972,14.316702819956628,14.346895074946463,-1.506996770721214,-12.5,242.8571428571429,-95.57522123893806,34.883720930232556,20.710059171597628,30.824742268041238,13.768844221105535,22.324159021406743,-16.216216216216218,-15.000000000000002,-15.151515151515149,-15.151515151515149,-16.666666666666675,-10.344827586206895,8.880666049953746,7.8125,8.240740740740748,7.090239410681409
2022-06-01,8.249312557286892,-2.3946360153256685,-2.0289855072463725,-1.8181818181818188,-13.703703703703695,20.715835140997818,-7.777777777777784,-7.5614366729678695,-6.0975609756097615,-7.2423398328690824,1.623686723973261,-4.438149197356001,-1.0348071495766664,7.738693467336688,-0.6796116504854344,-1.3544018058690654,-23.737373737373744,7.999999999999985,-46.15384615384615,-8.602150537634412,-3.3755274261603407,31.154239019407548,14.3,21.349446122860027,-13.888888888888884,-12.82051282051282,-12.50000000000001,-12.50000000000001,-14.28571428571429,-10.344827586206895,8.880666049953746,7.8125,8.240740740740748,7.090239410681409
2022-07-01,8.477666362807646,-4.890219560878251,-4.016064257028118,-2.9865125240847723,-15.287244401168454,14.541832669322696,-9.3467336683417,-9.837631327602669,-5.471124620060797,-7.247796278158658,1.4285714285714235,-1.9685039370078705,-5.988023952095811,-1.4314928425357754,-1.2539184952978122,3.850509626274068,-49.54954954954955,-49.664429530201346,-103.37078651685394,-52.348993288590606,-15.471698113207555,33.83534136546187,15.469061876247503,19.329388560157778,-11.428571428571422,-10.526315789473683,-6.451612903225811,-9.677419354838722,-14.28571428571429,-7.142857142857128,3.0706243602866,1.538461538461533,1.3347022587268942,-0.30864197530864335
2022-08-01,8.834244080145726,6.69693530079456,1.9038076152304573,-5.728643216080409,-7.0824524312896315,-1.2927054478300892,-10.885045778229907,3.9874081846799525,1.473922902494329,1.3859275053304865,10.05235602094241,9.554140127388532,6.830907054871238,41.12627986348123,14.014251781472687,-1.3468013468013296,-64.65517241379311,-67.58620689655173,-189.41176470588235,-100.0,-33.333333333333336,39.6825396825397,16.23505976095616,18.093385214007785,-8.823529411764696,-10.526315789473683,-3.3333333333333326,-9.677419354838722,-8.823529411764696,-3.703703703703709,3.0706243602866,1.538461538461533,1.3347022587268942,-0.30864197530864335
2022-09-01,10.899182561307907,6.470588235294117,-0.5633802816901401,-2.0054694621695512,-7.938044530493715,6.063618290258455,-14.374999999999993,10.405156537753225,-1.391650099403574,-0.855513307984801,12.835249042145591,5.566037735849072,4.7214353163361755,40.990990990990994,8.139534883720923,-6.708595387840677,-80.99173553719008,-88.81118881118881,-88.0,-122.05882352941177,-41.21863799283154,39.863547758284604,17.33067729083664,17.777777777777782,-8.823529411764696,-10.526315789473683,-3.3333333333333326,-9.677419354838722,-8.823529411764696,-3.703703703703709,3.0706243602866,1.538461538461533,1.3347022587268942,-0.30864197530864335
2022-10-01,11.562782294489615,-3.383084577114437,-5.198487712665411,-6.940371456500483,-14.313534566699126,-5.36193029490617,-20.714285714285708,8.097560975609763,-7.6769690927218415,-4.343534057255671,-0.2004008016032066,0.5958291956305706,-1.430030643513791,8.116545265348618,-4.596622889305813,-14.177693761814748,-83.72093023255813,-93.4640522875817,-105.88235294117648,-142.33576642335765,-43.359375,32.797731568998124,17.938553022794835,17.320574162679424,-8.823529411764696,-10.526315789473683,-3.3333333333333326,-9.677419354838722,-11.764705882352944,-3.703703703703709,9.868421052631572,8.576814326107463,8.26291079812207,6.873822975517885
